N,K,Solver,p,seed,restart_id,is_best_restart,experiment_phase,Feasibility Ratio (%),Optimization GAP (%),gap_best_of_restarts,Sharpe Ratio In-Sample,Sharpe Ratio Out-of-Sample,Execution Time (s),objective
6,3,Gurobi,,49,,True,N_scaling,100.0,0.0,0.0,3.050240173108505,0.7662045524457204,0.004143400001339614,-0.20505109416655715
6,3,Simulated Annealing,,49,,True,N_scaling,100.0,0.0,0.0,3.050240173108505,0.7662045524457204,0.013052299997070804,-0.20505109416655715
6,3,Standard QAOA,3.0,49,0.0,True,N_scaling,89.63897483362003,66.23940641285874,66.23940641285874,1.2218233423485165,-0.027556551816715586,0.2838244000013219,-0.06922646654755767
6,3,XY-QAOA,3.0,49,,True,N_scaling,100.0,12.880063489319705,12.880063489319705,2.5448567464608036,0.5915881582187121,0.2778871999908006,-0.17864038305235985
6,3,XY-QAOA Regularized,3.0,49,0.0,True,N_scaling,99.99999999999999,0.0,0.0,3.050240173108505,0.7662045524457204,0.2870819000090705,-0.20505109416655715
8,4,Gurobi,,42,,True,N_scaling,100.0,0.0,0.0,2.3274106834120216,0.5107783518696317,0.003898700000718236,-0.16620031287492046
8,4,Simulated Annealing,,42,,True,N_scaling,100.0,0.0,0.0,2.3274106834120216,0.5107783518696317,0.017881299994769506,-0.16620031287492046
8,4,Standard QAOA,3.0,42,0.0,True,N_scaling,77.56336517874428,103.24743841430725,103.24743841430725,0.13360975582299686,-0.7433847846769145,0.3160366999945836,0.005397252804998991
8,4,XY-QAOA,3.0,42,,True,N_scaling,100.0,27.355269231938728,27.355269231938728,1.7643813372340187,-0.26300828712206015,0.3180949000088731,-0.12073576982366144
8,4,XY-QAOA Regularized,3.0,42,0.0,True,N_scaling,99.99999999999997,36.95132173728653,36.95132173728653,1.66233587615199,0.46577920275510676,0.31480480000027455,-0.10478710053613176
8,4,Gurobi,,43,,True,N_scaling,100.0,0.0,0.0,2.132797838205313,0.3980989699242999,0.004132300004130229,-0.14817612239347772
8,4,Simulated Annealing,,43,,True,N_scaling,100.0,0.0,0.0,2.132797838205313,0.3980989699242999,0.017853600002126768,-0.14817612239347772
8,4,Standard QAOA,3.0,43,0.0,True,N_scaling,81.21883846939984,0.0,0.0,2.132797838205313,0.3980989699242999,0.321351999999024,-0.14817612239347772
8,4,XY-QAOA,3.0,43,,True,N_scaling,100.0,7.371743814235438,7.371743814235438,1.5667917957215591,1.4177785750332894,0.31089809999684803,-0.1372529582567626
8,4,XY-QAOA Regularized,3.0,43,0.0,True,N_scaling,99.9999999999999,6.908299725281408,6.908299725281408,1.7915138983890995,0.46910932342716494,0.32290139999531675,-0.13793967173723645
8,4,Gurobi,,44,,True,N_scaling,100.0,0.0,0.0,2.2898484266643004,0.8684432439456065,0.004094699994311668,-0.17114689022786753
8,4,Simulated Annealing,,44,,True,N_scaling,100.0,0.0,0.0,2.2898484266643004,0.8684432439456065,0.017776799999410287,-0.17114689022786753
8,4,Standard QAOA,3.0,44,0.0,True,N_scaling,48.98126723680213,0.0,0.0,2.2898484266643004,0.8684432439456065,0.3191882999963127,-0.17114689022786753
8,4,XY-QAOA,3.0,44,,True,N_scaling,100.0,12.447560684942486,12.447560684942486,2.112881917690268,0.7714385878186845,0.3070263999979943,-0.1498432772063618
8,4,XY-QAOA Regularized,3.0,44,0.0,True,N_scaling,99.99999999999991,1.099688920966523,1.099688920966523,2.165952772548225,0.6663288158500591,0.3151406999968458,-0.16926480683745293
8,4,Gurobi,,45,,True,N_scaling,100.0,0.0,0.0,2.3243273563914553,1.1681966324458155,0.004077699995832518,-0.21320197150807466
8,4,Simulated Annealing,,45,,True,N_scaling,100.0,0.0,0.0,2.3243273563914553,1.1681966324458155,0.017712000000756234,-0.21320197150807466
