N,K,regime,seed,solver,p,alpha,in_sample_obj,in_sample_gap,iterations,out_of_sample_sharpe,feasible,runtime
15,4,volatile,42,gurobi,,,-0.18147683540467258,0.0,1,2.4359822922553773,True,0.014333512000121118
15,4,volatile,42,sa,0.0,0.0,-0.17387007610081773,0.04191586924519951,1000,2.5756025372248956,True,0.44875939400026255
15,4,volatile,42,xy_normal,2.0,0.0,-0.05997286272437018,0.6695288266921916,46,1.9675040852098151,True,37.13032044400006
15,4,volatile,42,xy_regularized,2.0,0.05,-0.08664099650475586,0.522578205027896,46,1.03649346756624,True,36.16002821300026
15,4,volatile,42,xy_regularized,2.0,0.1,-0.05573159412717601,0.6928996805410402,47,-0.2692557350676171,True,36.999439535999954
15,4,volatile,43,gurobi,,,-0.19714031224657624,0.0,1,2.8364389475184373,True,0.013759183000729536
15,4,volatile,43,sa,0.0,0.0,-0.19443753511742848,0.013709916040749828,1000,2.6930439915581186,True,0.4966012260001662
15,4,volatile,43,xy_normal,2.0,0.0,-0.07684409133345327,0.610206099109048,44,3.213990373966398,True,35.195945625000604
15,4,volatile,43,xy_regularized,2.0,0.05,-0.10073564886146133,0.48901547474742413,46,0.9585994687557984,True,37.66284763800013
15,4,volatile,43,xy_regularized,2.0,0.1,-0.10501815099045514,0.4672923574398011,44,1.5615310902597275,True,35.85310504300014
15,4,volatile,44,gurobi,,,-0.1444915737820975,0.0,1,1.630129124818479,True,0.01969405599993479
15,4,volatile,44,sa,0.0,0.0,-0.13863438232811975,0.04053656071883315,1000,1.3963489409827823,True,0.49323603799984994
15,4,volatile,44,xy_normal,2.0,0.0,-0.0648613839094023,0.5511061149682168,52,0.6978497995962948,True,41.48912568600008
15,4,volatile,44,xy_regularized,2.0,0.05,-0.01814343862588625,0.874432548895566,57,1.488703341005377,True,46.1805428990001
15,4,volatile,44,xy_regularized,2.0,0.1,-0.01814343862588625,0.874432548895566,45,1.488703341005377,True,36.20714269200016
20,5,volatile,42,gurobi,,,-0.19249897356382323,0.0,1,2.464893067356628,True,0.041891930000019784
20,5,volatile,42,sa,0.0,0.0,-0.18909742277949365,0.017670487906273374,1000,2.8721494193150665,True,0.6492236450003475
20,5,volatile,42,xy_normal,2.0,0.0,-0.12619733453567367,0.34442593537345373,55,1.8270195266435092,True,94.50015799499943
20,5,volatile,42,xy_regularized,2.0,0.05,-0.11063357288982778,0.4252770763312818,49,1.5892680803634778,True,79.6673003699998
20,5,volatile,42,xy_regularized,2.0,0.1,-0.11063357288982778,0.4252770763312818,50,1.5892680803634778,True,80.30128502200023
20,5,volatile,43,gurobi,,,-0.20720568543531676,0.0,1,2.482784089285413,True,0.045575656999972125
20,5,volatile,43,sa,0.0,0.0,-0.20376924375221256,0.016584688185001313,1000,2.5303003469323437,True,0.6859952569993766
20,5,volatile,43,xy_normal,2.0,0.0,-0.14283811593973866,0.3106457690113511,51,2.874023635592304,True,84.77442737700039
20,5,volatile,43,xy_regularized,2.0,0.05,-0.15398250762022794,0.25686157068167637,52,2.2971744292312204,True,85.68875112600017
20,5,volatile,43,xy_regularized,2.0,0.1,-0.15398250762022794,0.25686157068167637,52,2.2971744292312204,True,85.76755208299983
20,5,volatile,44,gurobi,,,-0.1655647912089957,0.0,1,1.915619639103611,True,0.033570086000509036
20,5,volatile,44,sa,0.0,0.0,-0.1636249986012912,0.011716214501523183,1000,1.6683115906642458,True,0.6222382939995441
20,5,volatile,44,xy_normal,2.0,0.0,-0.0471110929526444,0.7154522250254576,55,2.370471882521219,True,90.49176696499944
20,5,volatile,44,xy_regularized,2.0,0.05,-0.0471110929526444,0.7154522250254576,53,2.370471882521219,True,90.20191189900015
20,5,volatile,44,xy_regularized,2.0,0.1,-0.07988172097089832,0.5175198761307768,49,2.0325290213681018,True,84.01631811200059
10,3,inflationary,42,gurobi,,,-0.13379493461768038,0.0,1,0.5379284885791845,True,0.03642826099985541
10,3,inflationary,42,sa,0.0,0.0,-0.13379493461768038,0.0,1000,0.5379284885791845,True,0.2719180009999036
10,3,inflationary,42,xy_normal,2.0,0.0,-0.06888288249643201,0.485160759685969,51,0.5720265714961548,True,17.332566348
10,3,inflationary,42,xy_regularized,2.0,0.05,-0.06888288249643201,0.485160759685969,49,0.5720265714961548,True,18.005091697999887
10,3,inflationary,42,xy_regularized,2.0,0.1,-0.06888288249643201,0.485160759685969,47,0.5720265714961548,True,16.58259841800009
10,3,inflationary,43,gurobi,,,-0.09372920697037494,0.0,1,0.2026320577145167,True,0.032007557999349956
10,3,inflationary,43,sa,0.0,0.0,-0.09372920697037494,0.0,1000,0.2026320577145167,True,0.3007923949999167
10,3,inflationary,43,xy_normal,2.0,0.0,0.07282691871655694,1.7769927973419792,53,2.795758625818649,True,18.666133892999824
10,3,inflationary,43,xy_regularized,2.0,0.05,0.07282691871655694,1.7769927973419792,47,2.795758625818649,True,17.510788087999572
10,3,inflationary,43,xy_regularized,2.0,0.1,0.07282691871655694,1.7769927973419792,48,2.795758625818649,True,16.977522246000262
10,3,inflationary,44,gurobi,,,-0.12661698891685147,0.0,1,-0.04478255765198863,True,0.02159258299980138
10,3,inflationary,44,sa,0.0,0.0,-0.12661698891685147,0.0,1000,-0.04478255765198863,True,0.2972466450000866
10,3,inflationary,44,xy_normal,2.0,0.0,-0.067074265667933,0.4702585629170173,46,0.23934657700047707,True,16.029350619999605
10,3,inflationary,44,xy_regularized,2.0,0.05,-0.067074265667933,0.4702585629170173,49,0.23934657700047707,True,17.64272144700044
10,3,inflationary,44,xy_regularized,2.0,0.1,-0.067074265667933,0.4702585629170173,48,0.23934657700047707,True,16.849485333999837
15,4,inflationary,42,gurobi,,,-0.1272863160237571,0.0,1,-0.25812857310152615,True,0.02105159399980039
15,4,inflationary,42,sa,0.0,0.0,-0.1272863160237571,0.0,1000,-0.25812857310152615,True,0.4338318010004514
15,4,inflationary,42,xy_normal,2.0,0.0,-0.016494042401077248,0.8704177878948217,55,0.9782040902158009,True,42.87713869500021
15,4,inflationary,42,xy_regularized,2.0,0.05,0.019453830678606197,1.152835208735048,51,1.1015738063933926,True,40.16862615399987
15,4,inflationary,42,xy_regularized,2.0,0.1,-0.022921214971725886,0.8199239660023799,47,1.50358530231834,True,37.58080827899994
15,4,inflationary,43,gurobi,,,-0.08330973855251228,0.0,1,0.04641299216114809,True,0.013807244000417995
15,4,inflationary,43,sa,0.0,0.0,-0.08330973855251228,0.0,1000,0.04641299216114809,True,0.48753418199976295
15,4,inflationary,43,xy_normal,2.0,0.0,-0.013769504483243648,0.8347191490156414,52,1.7294889434274556,True,40.95931049400042
15,4,inflationary,43,xy_regularized,2.0,0.05,0.0937555718615535,2.125385501029474,55,3.1073761758604173,True,42.05646871600038
15,4,inflationary,43,xy_regularized,2.0,0.1,-0.013769504483243648,0.8347191490156414,45,1.7294889434274556,True,36.38204579400008
15,4,inflationary,44,gurobi,,,-0.11493926193640903,0.0,1,0.05794745234387557,True,0.013887213000089105
